템플릿 ID,우선순위,포맷 결,주제/시리즈,썸네일 문구 패턴,첫 화면 예시,대본 구조,장면/디자인,CTA/댓글 키워드,캡션/DM 구조,GPT 프롬프트,예시 입력,양산 변수,운영 메모
T18,중,띠별 + 말년/가족복,말년운/가족복,말년에 호강하는 띠 순위,자식 덕분에 말년에 호강하는 띠 TOP7,순위 -> 이유 -> 가족복 해석 -> 댓글 CTA,랭킹표. 숫자와 띠를 크게.,댓글: 내 띠 / 가족복,캡션에 띠별 추가 설명,말년운 순위형 릴스 대본을 써줘. 민감하지 않게 희망형으로 표현해줘.,자식 덕분에 말년에 호강하는 띠 TOP7,"띠, 가족복, 노후, 귀인",기존 조회수형 유지
T19,중,월간 캘린더 + 띠,월별 띠운세,{월} 띠별 조심할 날/좋은 날,7월 띠별 돈 들어오는 날,월 후킹 -> 날짜 3개 -> 해당 띠 -> 행동 CTA,달력 그래픽. 날짜 크게.,댓글: 날짜 / 본인 띠,댓글로 자세한 날짜 DM,"월간 띠운세 캘린더 릴스 대본을 써줘. 날짜와 띠, 조심할 행동을 표처럼 제시해줘.",7월 띠별 돈 들어오는 날,"월, 날짜, 띠, 운세종류",매월 고정 시리즈
T20,중,참여형 테스트 + 사주화,테스트형 운세,100점으로 운명을 고른다면?,당신에게 100점이 있다면 어디에 쓰겠습니까,선택지 -> 결과 유형 -> 사주 해석 -> 댓글 CTA,게임 UI 느낌. 점수/선택지 카드.,댓글: 선택 / 운명,댓글 선택값으로 DM 풀이,참여형 테스트를 사주 운세로 바꿔줘. 선택지 4개와 결과 4개를 만들어줘.,100점으로 운명을 고른다면?,"점수, 선택지, 결과",비사주 포맷을 사주화할 때만
T21,중,DM 자동응답 전용,댓글 키워드 DM,댓글에 {키워드} 남기면 보내드립니다,댓글에 본인 띠만 남겨주세요,후킹 -> 왜 댓글인지 -> 받을 내용 -> 신뢰 문장 -> CTA,정적인 텍스트 카드. CTA를 크게.,댓글: 본인 띠 / 일간 / 생일,자동 DM 첫 메시지와 이어지는 상담 문구까지 설계,자동 DM 전환용 릴스 대본과 DM 첫 응답문을 같이 써줘. 댓글 키워드는 짧게.,댓글에 본인 띠만 남겨주세요,"키워드, 받을 자료, 상담링크",DM 플랫폼 연결용
T22,중,카드뉴스 8장,슬라이드형 사주풀이,{조건} 있는 사람 8장 풀이,현침살 있는 사람 올여름 직감이 예민해집니다,1장 후킹 -> 2~6장 조건/증상 -> 7장 주의 -> 8장 CTA,카드뉴스. 각 장 16자 이하 큰 제목.,댓글: 조건 / 저장,"캡션은 요약, 댓글은 키워드",8장 카드뉴스 문구를 만들어줘. 각 장 제목과 본문을 분리하고 마지막 장 CTA 포함.,현침살 있는 사람 올여름 직감이 예민해집니다,"조건, 계절, 변화, CTA",썸네일 품질 중요
T23,중,경고형 + 손실회피,놓치면 손해 운세,이걸 모르고 {행동}하면 복이 샙니다,이걸 모르고 이사하면 복이 샙니다,경고 -> 이유 -> 체크 3개 -> 해결 -> CTA,경고색 포인트. 과한 공포는 피함.,댓글: 체크 / 개운,저장/공유 중심,경고형 사주 릴스 대본을 써줘. 불안 조장 대신 체크리스트와 해결책을 넣어줘.,이걸 모르고 이사하면 복이 샙니다,"행동, 시기, 해결책",공포 과장 금지
T24,중,지역/방향 + 띠,방위/동네 운세,{띠}가 가면 운 트이는 동네/방향,용띠가 가면 돈길 열리는 방향,띠 후킹 -> 좋은 방향 -> 피할 방향 -> 개운 행동 -> CTA,지도/도시 이미지. 방향 화살표.,댓글: 방향 / 내 띠,캡션에 띠별 방향 리스트,띠별 방향운 릴스 대본을 써줘. 좋은 방향과 피할 방향을 간단히 제시해줘.,용띠가 가면 돈길 열리는 방향,"띠, 방향, 동네, 목적",풍수와 띠운세 결합
T25,중,새해/월초 루틴,월초 운세 루틴,{월} 시작 전 해야 할 개운법,7월 시작 전에 꼭 해야 할 개운법 5가지,월초 후킹 -> 행동 5개 -> 이유 -> 저장 CTA,루틴 카드. 체크박스 디자인.,댓글: 개운 / 저장,저장률 중심 캡션,월초 개운법 릴스 대본을 써줘. 바로 따라 할 수 있는 행동으로 작성해줘.,7월 시작 전에 꼭 해야 할 개운법 5가지,"월, 행동, 공간, 색상",월초 고정 발행
T26,중,띠별 + 금지 행동,띠별 조심운,{기간} 절대 하면 안 되는 띠,이번 주 절대 돈 빌려주면 안 되는 띠,금지 행동 -> 해당 띠 -> 이유 -> 대안 -> CTA,강한 대비. X 표시와 짧은 문장.,댓글: 조심 / 본인 띠,댓글로 조심할 행동 DM,띠별 금지 행동 릴스 대본을 써줘. 해결 행동까지 반드시 포함해줘.,이번 주 돈 빌려주면 안 되는 띠,"기간, 행동, 띠, 대안",반응은 좋지만 과장 주의
T27,중,상황별 + 기회 신호,기회/계약운,이 일이 생기면 곧 기회가 옵니다,갑자기 제안이 많아지면 귀인운 신호,상황 5개 -> 기회 해석 -> 잡는 법 -> CTA,밝은 배경. 체크리스트.,댓글: 기회 / 귀인,DM으로 기회 방향 풀이,기회 신호형 사주 릴스 대본을 써줘. 체크리스트와 행동 조언을 넣어줘.,갑자기 제안이 많아지면 귀인운 신호,"상황, 기회, 직장/돈/연애",긍정형 콘텐츠
T28,하중,명언 + 운세,감성 운세,결국 운 좋은 사람은 {태도}가 다릅니다,운 좋은 사람은 거절하는 법이 다릅니다,명언 후킹 -> 운세 해석 -> 상황 예시 -> 저장 CTA,감성 배경. 느린 전환.,댓글: 공감 / 저장,캡션에 짧은 에세이,명언을 사주/운세 관점으로 바꿔 릴스 대본을 써줘. 감성적이지만 상담 전환 문구는 짧게.,운 좋은 사람은 거절하는 법이 다릅니다,"태도, 관계, 돈, 운",조회수보다 브랜딩용
T29,하중,상담 후기형,후기/신뢰,상담 후 {변화} 온 사람들의 공통점,상담 후 돈 흐름이 바뀐 사람들의 공통점,후기 분위기 -> 공통점 -> 상담 가치 -> 문의 CTA,캡처형 카드. 개인정보 제거.,댓글: 상담 / 문의,프로필 링크 전환,후기 기반 사주 릴스 대본을 써줘. 과장 없이 공통점과 상담 프로세스를 설명해줘.,상담 후 돈 흐름이 바뀐 사람들의 공통점,"변화, 후기, 상담상품",광고성 과다 금지
T30,하중,시리즈 예고형,팔로우 유도,내일은 {주제} 올립니다,내일은 재물운 터지는 띠 올립니다,오늘 요약 -> 내일 예고 -> 팔로우 CTA,짧은 10초 릴스. 다음 편 예고 자막.,댓글: 다음 / 팔로우,연속 발행 예고,시리즈 예고용 10초 릴스 대본을 써줘. 다음 편을 궁금하게 만드는 문장으로 끝내줘.,내일은 재물운 터지는 띠 올립니다,"다음 주제, 업로드 시간",보조 콘텐츠
